matematica;facil;Quanto e 9 vezes 9?;72;81;90;b;50
matematica;facil;Um seculo tem quantos anos?;100;50;1000;a;50
matematica;facil;Quantos lados tem um quadrado?;5;6;4;c;50
matematica;facil;Quanto e 150 + 350?;400;500;600;b;50
matematica;facil;O que vale mais, uma duzia ou uma dezena?;Sao iguais;Uma dezena;Uma duzia;c;50
matematica;medio;Quanto e 25% de 200?;50;25;100;a;75
matematica;medio;Se 2x + 4 = 10, qual o valor de x?;4;3;5;b;75
matematica;medio;Qual e a area de um circulo com raio de 5cm? (Use pi = 3,14);31,4cm²;78,5cm²;25,5cm²;b;75
matematica;medio;Quanto e 1/4 de 60 minutos?;30 minutos;20 minutos;15 minutos;c;75
matematica;medio;Qual numero romano corresponde a 19?;XIX;XXI;XVI;a;75
matematica;dificil;Em um triangulo retangulo, os catetos medem 3cm e 4cm. Qual a medida da hipotenusa?;5cm;6cm;7cm;a;100
matematica;dificil;Qual o volume de um cubo com aresta de 5cm?;125cm³;100cm³;25cm³;a;100
matematica;dificil;Uma loja oferece 3 tipos de pao e 4 tipos de recheio. Quantos sanduiches diferentes podem ser montados?;7;9;12;c;100
matematica;dificil;Um carro viaja a 80 km/h. Em quanto tempo ele percorrera 200 km?;3 horas;2 horas e 30 minutos;2 horas;b;100
matematica;dificil;Se x+y=10 e x-y=4, quais sao os valores de x e y?;x=6, y=4;x=8, y=2;x=7, y=3;c;100